AnimalID,Name,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,class
A670174,Otto,In Surgery,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,Died
A666502,,,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Blue/White,Adoption
A674467,,Partner,Dog,Intact Female,5 days,Pit Bull Mix,White/Blue,Transfer
A702180,Danny,,Dog,Neutered Male,7 years,Jack Russell Terrier Mix,White/Brown,Return_to_owner
A690892,,SCRP,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Blue Tabby,Transfer
A680986,Ebony,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Adoption
A687916,Nash,,Dog,Neutered Male,2 years,American Bulldog/Labrador Retriever,White/Brown,Adoption
A703771,,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,Euthanasia
A717475,Duke,Partner,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,Transfer
A678608,Rango,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Gray/White,Return_to_owner
A707446,,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Blue Tabby,Transfer
A677004,Fanniemae,,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Black/Brown,Adoption
A694061,Kiki,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,Return_to_owner
A671698,Eli,,Dog,Neutered Male,2 months,Collie Smooth Mix,Sable/White,Adoption
A673809,,Partner,Dog,Spayed Female,4 months,Great Pyrenees Mix,White/Buff,Transfer
A712445,Taco,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,Return_to_owner
A689173,,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A688552,Tucker,Foster,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby,Adoption
A693637,,,Dog,Intact Male,2 months,German Shepherd Mix,Brown/Black,Adoption
A673202,,SCRP,Cat,Unknown,6 months,Domestic Shorthair Mix,Black Tabby,Transfer
A687951,Toby,Partner,Dog,Spayed Female,10 years,Labrador Retriever Mix,Black,Transfer
A679401,,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,Transfer
A705310,Lolly,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White,Adoption
A700310,Moo,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,White/Black,Adoption
A703241,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black,Transfer
A666886,,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange,Adoption
A690133,Hector,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Red/White,Transfer
A475943,Rosie,,Dog,Spayed Female,13 years,Miniature Poodle,White,Return_to_owner
A648300,Vito,,Dog,Neutered Male,4 years,Cane Corso Mix,Blue,Return_to_owner
A682804,Roxy,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown Brindle,Adoption
A707878,Arielle,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Adoption
A712541,Bijoux,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White,Adoption
A715289,,,Dog,Spayed Female,6 years,Miniature Poodle/Miniature Schnauzer,Black/Brown,Adoption
A696862,Sister,,Dog,Spayed Female,3 years,Bruss Griffon Mix,White/Brown,Adoption
A672672,Mattie,,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Brown/Black,Return_to_owner
A706953,,Medical,Dog,Intact Female,6 months,Labrador Retriever Mix,Yellow,Euthanasia
A686006,Suesue,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan,Return_to_owner
A673277,,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Blue Tabby,Transfer
A689350,Gatsby,,Dog,Neutered Male,5 months,Border Collie/German Shepherd,Black/Tricolor,Adoption
A706011,Prudence,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black,Adoption
A709013,,Partner,Dog,Intact Male,3 months,Treeing Cur Mix,Brown Brindle,Transfer
A665644,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,Transfer
A677179,Lenny,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/Brown Brindle,Return_to_owner
A690061,River,,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan,Adoption
A715216,,,Dog,Neutered Male,2 months,Cocker Spaniel/Labrador Retriever,Tan/White,Adoption
A666647,Lilly,,Dog,Spayed Female,1 month,Labrador Retriever Mix,White/Black,Adoption
A665668,Dylan,Foster,Cat,Neutered Male,10 years,Domestic Shorthair Mix,White/Black,Adoption
A720198,Shadow,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black,Adoption
A701311,Sodapop,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A716419,Kit Kit,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,Transfer
A666933,Tiger Lilly,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby,Transfer
A677291,,Partner,Dog,Intact Female,2 months,Beagle Mix,Brown/White,Transfer
A705452,Scooter,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Yorkshire Terrier,Yellow/White,Adoption
A714707,Bruce Wayne,Partner,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Black/White,Transfer
A707334,Zephyr,,Dog,Spayed Female,5 months,Australian Kelpie Mix,Black,Adoption
A695270,Luna,,Dog,Spayed Female,1 year,American Bulldog Mix,White/Brown Brindle,Return_to_owner
A719861,,SCRP,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Black/White,Transfer
A702554,,Foster,Dog,Spayed Female,2 months,Australian Shepherd Mix,Brown Merle/White,Adoption
A702642,Trigger,Partner,Dog,Neutered Male,9 years,Blue Lacy/Pit Bull,Blue/White,Transfer
A678320,Shirley,,Dog,Spayed Female,1 year,Labrador Retriever/Boxer,Brown/White,Adoption
A666177,,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Blue/White,Adoption
A713030,Wanda,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,Transfer
A681151,Kat,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,Return_to_owner
A609335,Churley,,Dog,Neutered Male,4 years,Pit Bull Mix,White/Tan,Adoption
A628369,Lucky,,Dog,Neutered Male,10 years,Lhasa Apso/Miniature Poodle,Cream,Adoption
A668127,Wiley,Partner,Dog,Neutered Male,2 years,Pit Bull,Chocolate,Transfer
A698268,,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black,Transfer
A703170,Pepper,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,Adoption
A690197,R-Three,,Dog,Spayed Female,3 months,Border Collie Mix,Chocolate,Adoption
A712903,,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Black/White,Transfer
A674347,,Aggressive,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White,Euthanasia
A683075,,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,White,Transfer
A662863,Lacy,Partner,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White,Transfer
A672657,Angie,,Dog,Spayed Female,1 year,Border Collie/Chow Chow,Black/White,Adoption
A608232,Spike,,Dog,Neutered Male,8 years,Yorkshire Terrier,Black/Tan,Return_to_owner
A684057,Zachary,,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Black/Brown,Adoption
A688377,Rosie,Foster,Dog,Spayed Female,11 months,Australian Kelpie Mix,Black,Adoption
A682160,,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Calico,Transfer
A557678,Wendy,Partner,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,White/Tan,Transfer
A717472,Marv,,Dog,Neutered Male,2 months,Mastiff/Chinese Sharpei,Black/White,Adoption
A703214,,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Brown Tabby,Transfer
A653281,Biggie,Partner,Dog,Neutered Male,11 months,Labrador Retriever/Pit Bull,Black,Transfer
A678958,Ares,,Dog,Neutered Male,2 months,Boxer Mix,Tricolor,Adoption
A679450,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,Transfer
A687095,,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Tricolor,Adoption
A670307,Danny,,Dog,Neutered Male,2 years,German Shepherd/Labrador Retriever,Black/Tan,Adoption
A718092,,,Dog,Spayed Female,8 years,Manchester Terrier Mix,Black/Tan,Return_to_owner
A716162,Joker,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Black/Brown,Return_to_owner
A716345,Chipper,,Dog,Neutered Male,4 years,Dachshund/Whippet,White/Black,Return_to_owner
A691246,Rebel,,Dog,Neutered Male,1 year,German Shepherd Mix,Brown/Black,Adoption
A678056,Bear,Partner,Dog,Intact Male,1 month,Lhasa Apso Mix,Tan,Transfer
A698262,Benny,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Orange Tabby,Return_to_owner
A688925,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,Transfer
A717750,Cupcake,Partner,Cat,Intact Male,1 month,Siamese Mix,Seal Point,Transfer
A661519,Kingsley,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A704132,Sherman,,Dog,Neutered Male,2 years,Pit Bull/Labrador Retriever,Brown/White,Return_to_owner
A661783,Gwen,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Brown Tabby/White,Adoption
A687303,,Partner,Cat,Neutered Male,2 weeks,Domestic Shorthair Mix,Gray Tabby,Transfer
A706079,,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A676587,Marian,,Dog,Spayed Female,1 year,Australian Shepherd Mix,White,Return_to_owner
A701203,,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,Transfer
A671114,Buster G,,Dog,Neutered Male,1 year,Border Collie Mix,Gold/White,Adoption
A683138,,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A660027,Pinto,Partner,Dog,Neutered Male,2 years,Pointer Mix,Brown Brindle/White,Transfer
A691223,,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black,Transfer
A669369,Robbie,,Dog,Neutered Male,10 months,Jack Russell Terrier Mix,Tan/White,Adoption
A711737,Juan,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A691251,Bobby,,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Brown,Adoption
A709243,Leoara,Partner,Dog,Intact Female,6 years,Labrador Retriever/Border Collie,Black,Transfer
A703880,,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Brown Tabby,Transfer
A682302,,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A683925,Fluffette,,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue,Adoption
A685144,Princess,,Dog,Spayed Female,3 years,Pit Bull Mix,Buff/White,Return_to_owner
A705968,Joy,,Dog,Intact Female,2 years,Shih Tzu Mix,Buff/Black,Return_to_owner
A667523,Kiki,,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Brown,Adoption
A704662,,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Torbie,Transfer
A702079,,Suffering,Dog,Intact Male,7 years,Carolina Dog Mix,Red,Euthanasia
A646767,Paloma,Partner,Dog,Spayed Female,2 years,Finnish Spitz Mix,White,Transfer
A683017,,,Dog,Neutered Male,10 months,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,Adoption
A669845,Smokey,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,Transfer
A702727,Scully,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow,Adoption
A707388,George,Partner,Dog,Neutered Male,10 months,Beagle Mix,White/Tricolor,Transfer
A683496,Sheri,,Dog,Spayed Female,2 years,American Pit Bull Terrier/Boxer,Fawn/White,Adoption
A714196,Pookie Bear,Partner,Cat,Neutered Male,7 years,Domestic Longhair Mix,Black,Transfer
A678314,Peabody,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Cream,Adoption
A705047,,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/White,Transfer
A712422,Burton,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Blue Tabby,Adoption
A718400,,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Yellow,Transfer
A697978,Mira,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/White,Adoption
A683650,Lemmy,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Fawn/Brown Brindle,Adoption
A457858,Weda,,Dog,Spayed Female,9 years,Beagle Mix,Buff/Yellow,Return_to_owner
A694556,,,Dog,Neutered Male,3 years,Chihuahua Shorthair/Border Terrier,Red/White,Adoption
A663667,Cody,Behavior,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,White/Brown,Euthanasia
A717961,Jester,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,Transfer
A683724,,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A696879,Pooney,Partner,Dog,Intact Female,2 months,Bruss Griffon Mix,Brown,Transfer
A711196,Snow White,,Dog,Spayed Female,5 years,Great Pyrenees Mix,White,Adoption
A663055,Mocha,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,Adoption
A674069,David,Partner,Dog,Neutered Male,3 years,Cairn Terrier/Shih Tzu,White/Buff,Transfer
A666971,,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A697790,,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black/White,Adoption
A695959,,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black/White,Transfer
A712048,,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie,Transfer
A716808,,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/Orange,Transfer
A682377,,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,Adoption
A710929,,Partner,Dog,Spayed Female,6 months,Australian Kelpie Mix,Tan/White,Transfer
A720502,,SCRP,Cat,Intact Male,,Domestic Shorthair Mix,Black,Transfer
A666149,Roo,Foster,Dog,Spayed Female,1 year,German Shepherd/Siberian Husky,Sable,Adoption
A672747,Bella,,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black/White,Adoption
A698817,Charlie,,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tricolor,Adoption
A718689,Pepita,Partner,Dog,Spayed Female,5 years,Chihuahua Longhair Mix,Tricolor,Transfer
A690872,Marcus,,Dog,Neutered Male,6 years,American Bulldog Mix,White,Return_to_owner
A711565,Pandora,,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,White/Black,Adoption
A678927,,In Kennel,Dog,Intact Male,1 year,Miniature Pinscher Mix,Red,Died
A665283,Rosie,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,Adoption
A682186,Ben,,Dog,Neutered Male,1 year,Australian Cattle Dog/Catahoula,Red/White,Adoption
A714623,Riggins,,Dog,Neutered Male,5 years,Bearded Collie Mix,Buff,Return_to_owner
A707695,,Partner,Dog,Intact Male,1 month,Pit Bull Mix,Blue/White,Transfer
A681807,,SCRP,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Cream Tabby/White,Transfer
A708030,Bella,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Brown,Adoption
A713650,Blue,,Dog,Intact Male,1 month,American Pit Bull Terrier Mix,White/Blue,Return_to_owner
A697538,Baxter,,Dog,Neutered Male,5 years,Soft Coated Wheaten Terrier Mix,Cream,Adoption
A693461,Jasper,,Dog,Neutered Male,4 years,Dachshund Longhair Mix,Brown,Adoption
A696964,Johnny,Foster,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A682608,,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/White,Adoption
A682861,,Partner,Cat,Unknown,1 week,Domestic Medium Hair Mix,White,Transfer
A704039,Thunder,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Adoption
A695048,,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A713239,Tila,,Dog,Intact Female,9 months,Pit Bull Mix,Fawn,Return_to_owner
A664039,,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Yellow,Transfer
A710333,Ricki,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White,Transfer
A682248,,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,White,Euthanasia
A683062,,,Cat,Neutered Male,2 months,Siamese Mix,Lilac Point,Adoption
A720090,,Partner,Dog,Intact Female,2 weeks,Labrador Retriever Mix,White/Black,Transfer
A703172,Assam,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue,Transfer
A696412,Huey,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A680937,Hank,,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Blue Merle,Adoption
A673489,Cue,,Dog,Neutered Male,8 years,Pit Bull Mix,Brown/White,Return_to_owner
A693908,,Partner,Dog,Neutered Male,2 years,Shih Tzu Mix,White/Brown,Transfer
A702336,,Foster,Cat,Spayed Female,2 months,Siamese Mix,Flame Point,Adoption
A670808,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,Transfer
A605315,Max,,Dog,Neutered Male,4 years,American Pit Bull Terrier,Black/White,Return_to_owner
A676887,Mutt,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,Return_to_owner
A701014,Honey Bear,,Dog,Spayed Female,11 months,American Bulldog Mix,White/Tan,Return_to_owner
A689141,,Suffering,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan,Euthanasia
A698918,Magic,,Dog,Neutered Male,5 months,Rat Terrier Mix,Tricolor,Adoption
A535124,Bruno,,Dog,Neutered Male,5 years,Dutch Shepherd Mix,Brown Brindle,Adoption
A686667,Doug,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A710921,Daisy,,Dog,Spayed Female,12 years,Miniature Schnauzer Mix,Gray,Return_to_owner
A675802,,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Brown,Transfer
A692355,,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Torbie,Transfer
A710330,,Partner,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Calico,Transfer
A554865,Pepe,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair,White,Transfer
A705746,Max,,Dog,Neutered Male,13 years,Miniature Poodle/Miniature Schnauzer,White,Return_to_owner
A714164,Thor,,Dog,Neutered Male,6 months,Black Mouth Cur Mix,Tan/White,Adoption
A711604,Benny,,Cat,Neutered Male,2 months,Manx Mix,Black,Adoption
A702763,,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A699154,,SCRP,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A710079,Skinny,Partner,Cat,Spayed Female,12 years,Domestic Medium Hair Mix,Blue Tabby,Transfer
A719539,Melindra,Partner,Cat,Intact Female,1 week,Domestic Longhair Mix,Blue Tabby,Transfer
A666001,Hershey,,Dog,Spayed Female,5 years,Australian Shepherd Mix,Black/Tan,Adoption
A685161,Cedar,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Gray,Transfer
A704003,,,Dog,Neutered Male,2 years,Pembroke Welsh Corgi Mix,Tricolor,Adoption
A696438,Samba,,Dog,Neutered Male,2 years,Manchester Terrier/Norfolk Terrier,Tricolor,Return_to_owner
A683040,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A697649,Lily,,Dog,Spayed Female,1 year,Rat Terrier/Chihuahua Shorthair,Tricolor,Adoption
A680259,Ella,Partner,Cat,Spayed Female,12 years,Domestic Medium Hair Mix,Tortie,Transfer
A702602,,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,White/Blue,Transfer
A705484,,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Red,Transfer
A703923,Fluffy,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Adoption
A708335,Vernon,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby,Adoption
A706952,,,Dog,Neutered Male,3 months,Miniature Schnauzer Mix,Tan,Adoption
A654592,Luigi,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,White/Brown,Transfer
A713803,Pecan,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Tortie,Adoption
A664634,Sandy,Partner,Dog,Intact Female,2 years,Shih Tzu/Havanese,White/Buff,Transfer
A718565,Mancho,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Red,Return_to_owner
A688535,Jake,,Dog,Neutered Male,3 months,German Shepherd Mix,Brown/Black,Adoption
A677890,,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,Euthanasia
A689400,Brutus,,Dog,Neutered Male,6 years,Beagle Mix,Tricolor,Return_to_owner
A701395,Koala,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Transfer
A662880,Orange,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A708080,,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,Transfer
A715970,Coco,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,Adoption
A639465,Bear,,Dog,Intact Male,14 years,Keeshond Mix,Sable,Return_to_owner
A672762,Blaze,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A665219,Sox,Rabies Risk,Dog,Neutered Male,10 months,Australian Shepherd Mix,Tricolor,Euthanasia
A613553,Beast,Aggressive,Dog,Neutered Male,4 years,Pit Bull Mix,Black/White,Euthanasia
A704379,Alex,,Dog,Neutered Male,10 months,Tibetan Terrier/Lhasa Apso,Black/White,Adoption
A700948,,Suffering,Dog,Unknown,9 years,Australian Cattle Dog/Chinese Sharpei,Tan/Brown,Euthanasia
A706023,,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,Transfer
A687691,,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Black,Transfer
A718313,Asner,,Dog,Neutered Male,5 years,Rottweiler Mix,Black/Tan,Return_to_owner
A701984,,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A705282,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,White,Transfer
A715789,Socks,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,Adoption
A719113,Dexter,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White,Transfer
A694296,,,Dog,Neutered Male,2 years,Cairn Terrier Mix,Black,Adoption
A279045,Pyewackett,,Cat,Spayed Female,14 years,Domestic Shorthair Mix,White/Gray Tabby,Return_to_owner
A710942,,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A675127,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Cream,Transfer
A663935,,Partner,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Brown,Transfer
A682513,Beka,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor,Return_to_owner
A665372,,Partner,Dog,Intact Female,1 week,Labrador Retriever Mix,Black/White,Transfer
A661842,Hammy,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,Adoption
A362967,Honey,,Dog,Spayed Female,9 years,German Shepherd/Labrador Retriever,Tan/White,Return_to_owner
A695240,Connor,,Dog,Neutered Male,7 years,Labrador Retriever,Black,Return_to_owner
A703869,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,Transfer
A688470,Lady,,Dog,Spayed Female,3 months,Chihuahua Longhair,Brown/White,Adoption
A661592,Cotton,Foster,Dog,Neutered Male,3 months,Labrador Retriever/Chow Chow,Yellow,Adoption
A699014,,Suffering,Cat,Unknown,0 years,Domestic Shorthair Mix,Brown Tabby,Euthanasia
A682749,Franklin,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Cream Tabby,Adoption
A703728,,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie/White,Transfer
A713379,,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A719629,Canela,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor,Return_to_owner
A698187,,Partner,Dog,Intact Male,6 days,Rat Terrier Mix,White,Transfer
A716641,Limon,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,Adoption
A676912,,Suffering,Cat,Intact Female,1 year,Domestic Longhair Mix,Tortie,Euthanasia
A717362,Patches,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,White/Black,Transfer
A719653,,,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black/Brown,Adoption
A689261,Buddy,,Dog,Neutered Male,10 months,Dachshund Wirehair Mix,White,Return_to_owner
A680288,,Partner,Dog,Intact Male,4 years,Manchester Terrier Mix,Black/Tan,Transfer
A650214,Kya,,Dog,Spayed Female,2 years,Siberian Husky,Brown/White,Adoption
A670041,Halo,,Dog,Spayed Female,12 years,German Shepherd Mix,Black/Brown,Return_to_owner
A676202,Joey,,Dog,Neutered Male,13 years,Shih Tzu Mix,White/Brown,Return_to_owner
A666541,Ebbie,SCRP,Cat,Intact Female,6 years,Domestic Shorthair Mix,Blue Tabby,Transfer
A713654,Basher,,Dog,Intact Male,1 year,Pit Bull Mix,Red/White,Return_to_owner
A701316,Luna,,Dog,Spayed Female,4 years,Pug,Black,Return_to_owner
A713438,Liza,,Dog,Spayed Female,2 months,Pit Bull Mix,Red/White,Adoption
A714827,,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,Transfer
A714224,Honey,,Dog,Spayed Female,6 years,Australian Cattle Dog/Beagle,Blue Tick/Black,Adoption
A699302,Mochi,Partner,Dog,Neutered Male,1 year,Carolina Dog/Australian Cattle Dog,Tan,Transfer
A684000,,Partner,Cat,Unknown,1 weeks,Siamese,Seal Point,Transfer
A716997,Zeus,,Dog,Neutered Male,6 years,Staffordshire Mix,Blue/White,Adoption
A704946,,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A707302,,SCRP,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Blue Tabby,Transfer
A680536,Lilly,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,Adoption
A718558,Rocko,,Dog,Neutered Male,8 years,Lhasa Apso Mix,Black/White,Return_to_owner
A675248,,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A681474,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Transfer
A691012,Pj,,Dog,Intact Male,4 years,Staffordshire Mix,Red/White,Return_to_owner
A692922,Finch,,Dog,Spayed Female,4 years,Jack Russell Terrier Mix,White,Return_to_owner
A677633,,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,Euthanasia
A707049,Ron,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,Adoption
A713321,Audrey,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie,Adoption
